district,subway,school,per_price
宝安,1,0,3.4444
宝安,1,1,8.0021
宝安,0,1,2.8315
宝安,1,1,7.464
宝安,0,1,2.2971
宝安,1,1,7.1857
宝安,0,0,6.3894
宝安,0,1,3.6
宝安,1,0,2.2758
宝安,1,0,8.3836
宝安,1,0,7.8136
宝安,1,0,3.8693
宝安,0,0,5.3212
宝安,0,0,7.1852
宝安,1,1,6.5613
宝安,1,0,3.0375
宝安,1,0,3.2057
宝安,1,1,7.2721
宝安,1,0,2.78
宝安,1,0,4.6846
宝安,1,1,3.0337
宝安,1,0,12.6014
宝安,1,1,6.7363
宝安,0,0,3.046
宝安,1,0,6.5129
宝安,1,0,7.5072
宝安,1,1,6.8841
宝安,1,1,7.4967
宝安,1,1,6.6823
宝安,1,0,11.8947
宝安,1,1,2.4395
宝安,0,1,2.3611
宝安,1,0,1.622
宝安,1,0,9.2639
宝安,1,0,3.9499
宝安,1,0,5.6473
宝安,1,0,2.9625
宝安,1,1,2.5781
宝安,1,0,8.2946
宝安,1,1,8.6615
宝安,1,0,4.0987
宝安,0,0,2.153
宝安,1,1,5.3106
宝安,1,1,5.6325
宝安,1,1,8.1473
宝安,1,1,4.3352
宝安,1,1,10.9379
宝安,1,1,2.91
宝安,1,1,6.7034
宝安,0,0,4.9297
宝安,0,0,2.1551
宝安,1,1,8.6154
宝安,1,1,7.9745
宝安,1,1,4.6863
宝安,1,0,7.9018
宝安,0,0,3.1494
宝安,0,0,6.1684
宝安,1,1,6.8766
宝安,1,1,8.0438
宝安,1,1,8.0304
宝安,1,0,5.0673
宝安,0,1,3.2547
宝安,1,0,11.3741
宝安,0,0,4.3823
宝安,0,0,5.1813
宝安,1,1,8.014
宝安,0,0,2.5116
宝安,0,0,2.6181
宝安,1,1,7.9245
宝安,1,1,5.6365
宝安,1,1,7.6427
宝安,0,0,5.1861
宝安,1,1,7.9452
宝安,1,0,3.6571
宝安,1,1,5.1388
宝安,1,0,1.7966
宝安,1,0,2.9299
宝安,1,1,11.5373
宝安,1,1,4.4181
宝安,1,1,4.0
宝安,1,0,4.3742
宝安,1,1,4.4264
宝安,0,0,3.554
宝安,1,1,4.037
宝安,1,0,3.7445
宝安,0,0,1.0155
宝安,1,0,7.81
宝安,0,0,2.4382
宝安,1,1,2.7078
宝安,0,1,5.6363
宝安,1,1,5.8959
宝安,0,0,5.5358
宝安,0,0,2.5755
宝安,1,0,2.4096
宝安,1,0,3.5107
宝安,0,0,3.2764
宝安,1,1,2.6067
宝安,0,0,5.2966
宝安,0,0,2.5393
宝安,0,0,3.4534
宝安,0,1,3.2055
宝安,1,0,3.1219
宝安,1,0,5.9041
宝安,1,1,2.772
宝安,1,0,8.2526
宝安,0,0,3.2337
宝安,1,0,7.9384
宝安,1,0,3.6666
宝安,1,1,11.976
宝安,1,0,8.5754
宝安,1,0,6.6711
宝安,1,0,6.4191
宝安,1,1,7.4833
宝安,1,1,5.7819
宝安,1,0,3.5125
宝安,1,0,2.7525
宝安,1,1,3.4069
宝安,1,1,3.7948
宝安,1,0,3.9927
宝安,1,0,7.4931
宝安,1,1,6.8039
宝安,0,0,3.5714
宝安,1,0,2.1816
宝安,1,1,4.131
宝安,1,0,7.5341
宝安,1,1,5.9123
宝安,1,1,8.0429
宝安,1,1,10.5063
宝安,1,1,4.1761
宝安,1,0,6.6559
宝安,0,1,2.836
宝安,1,0,3.1864
宝安,0,0,1.1173
宝安,0,0,2.3677
宝安,1,0,5.6512
宝安,1,1,8.4297
宝安,1,0,2.1379
宝安,1,1,7.3204
宝安,1,1,6.1499
宝安,0,1,3.262
宝安,1,1,3.633
宝安,1,0,6.6063
宝安,1,0,2.95
宝安,1,1,7.3362
宝安,0,0,2.6985
宝安,1,1,3.7235
宝安,1,1,6.3426
宝安,1,0,7.1396
宝安,0,1,3.2979
宝安,1,0,4.6068
宝安,1,1,8.6245
宝安,1,1,4.4148
宝安,1,0,3.4321
宝安,1,0,4.6517
宝安,0,1,3.1827
宝安,1,0,6.8161
宝安,0,0,7.8274
宝安,1,0,5.557
宝安,1,1,2.3953
宝安,1,1,5.3805
宝安,1,0,2.9213
宝安,1,1,7.561
宝安,1,1,6.8441
宝安,1,1,8.3484
宝安,1,1,3.9538
